depInsee,dossApproNumConcatLb,etbSiret,etbLb,adrConcat,codePostalNb,comNomSimplifie,aggCatUe,aggActiviteAssocie,aggEspUe
91,91.432.010,38037535200032,ANTHES,RD 118 1 LES FROIDES BOUILLIES RD 118,91420,MORANGIS,CS,IX(PP),
91,91.432.019,96220158800085,DOMAFRAIS,RD 118 1 LES FROIDES BOUILLIES RD 118,91420,MORANGIS,CS,VIII(FFPP),
91,91.432.037,44302467400022,BAY,"11 RUE GUSTAVE EIFFEL ",91420,MORANGIS,CS,VI(PP);V(MP),
91,91.494.002,83293810400029,STEF LOGISTIQUE LE PLESSIS PATE,"15 RUE DE LA MARE AUX JONCS ",91220,LE PLESSIS-PATE,CS,,
91,91.552.011,42824028700451,CARREFOUR SUPPLY CHAIN,"CHE DES 50 ARPENTS ",91180,SAINT-GERMAIN-LES-ARPAJON,CS,,
91,91.570.009,32718363800045,ALIMENTAR,ZAC DE LA NOUE ROUSSEAU AV CONDORCET ZAC DE LA NOUE ROUSSEAU,91240,SAINT-MICHEL-SUR-ORGE,CS,,
91,91.617.007,41963789700036,STEF LOGISTIQUE TIGERY,PARC D ACTIVITES DE PARIS SUD 4 BD DES PAYS BAS PARC D'ACTIVITES DE PARIS SUD,91250,TIGERY,CS,,
91,91.617.012,38705033900101,DISTRIB PROD AGRICOL MAGALLON,"11 RUE PARC DU VERGER ",91250,TIGERY,CS,,
91,91.659.001,53881608300058,PRODISPATCH,BAT E ESC 5 ZAC DES BRATEAUX RUE DES 44 ARPENTS BAT E6 ZAC DES BRATEAUX,91100,VILLABE,CS,,
91,91.661.009,33025598500062,SOCIETE DES CONCEPTS ALIMENTAIRES,ZONE ARTISANALE DE COURTABOEUF 20 AV DE LA BALTIQUE ZA DE COURTABOEUF,91140,VILLEBON-SUR-YVETTE,CS,,
91,91.689.004,88006469600029,STG WISSOUS,"1549 RUE DU BERGER ",91320,WISSOUS,CS,,
91,91.689.008,42230707400050,SOTRACOM AIR TRANSIT EXPORT,"3 LA CROIX BRISEE ",91320,WISSOUS,CS,,
91,91.689.014,44450202500059,LDC SABLE,ZI VILLEMILAN 2 AV LAVOISIER ZI VILLEMILAN,91320,WISSOUS,CS,,
91,91.689.016,43392733200208,TRANSGOURMET OPERATIONS - TRANSGOURMET,10 12 10 BOULEVARD ARAGO,91325,WISSOUS,CS,,
